"","ALTERNATIVE","TIME"
"245","cloud","77.554665"
"246","cloud","67.256759"
"247","cloud","74.429996"
"248","cloud","66.346662"
"249","cloud","88.182902"
"250","cloud","70.601736"
"251","cloud","71.539438"
"252","cloud","86.336375"
"253","cloud","66.130621"
"254","cloud","65.480597"
"255","cloud","75.828525"
"256","cloud","68.004005"
"257","cloud","70.465471"
"258","cloud","66.966555"
"259","cloud","70.972515"
"260","cloud","67.690387"
"261","cloud","70.826386"
"262","cloud","67.69261"
"263","cloud","66.631741"
"264","cloud","65.020916"
"265","cloud","65.196863"
"266","cloud","67.212766"
"267","cloud","69.278839"
"268","cloud","67.419053"
"269","cloud","116.066159"
"270","cloud","69.221721"
"271","cloud","65.949263"
"272","cloud","83.364287"
"273","cloud","80.508976"
"274","cloud","65.568957"
"275","cloud","70.400491"
"276","cloud","72.675251"
"277","cloud","67.862686"
"278","cloud","67.945035"
"279","cloud","71.016434"
"280","cloud","65.069551"
"281","cloud","81.351583"
"282","cloud","77.459726"
"283","cloud","66.456952"
"284","cloud","65.173495"
"285","cloud","68.886464"
"286","cloud","67.66681"
"287","cloud","66.887519"
"288","cloud","68.446835"
"289","cloud","64.57098"
"290","cloud","64.866256"
"291","cloud","72.352162"
"292","cloud","65.137655"
"293","cloud","67.374881"
"294","cloud","66.779054"
"295","cloud","63.850084"
"296","cloud","66.474409"
"297","cloud","65.255034"
"298","cloud","71.651707"
"299","cloud","65.020172"
"300","cloud","82.879278"
"301","cloud","65.55686"
"302","cloud","68.860203"
"303","cloud","66.645717"
"304","cloud","95.750416"
"305","cloud","68.996561"
"306","cloud","74.47018"
"307","cloud","66.674051"
"308","cloud","69.268752"
"309","cloud","68.022703"
"310","cloud","66.684857"
"311","cloud","66.429851"
"312","cloud","76.030676"
"313","cloud","72.919917"
"314","cloud","84.523869"
"315","cloud","67.996747"
"316","cloud","82.696888"
"317","cloud","85.358493"
"318","cloud","90.074193"
"319","cloud","87.019759"
"320","cloud","67.752041"
"321","cloud","73.528386"
"322","cloud","73.349888"
"323","cloud","69.940547"
"324","cloud","68.88085"
"325","cloud","83.405507"
"326","cloud","71.490109"
"327","cloud","66.574135"
"328","cloud","68.788596"
"329","cloud","69.781581"
"330","cloud","68.264176"
"331","cloud","83.480062"
"332","cloud","77.533276"
"333","cloud","68.43109"
"334","cloud","75.754717"
"335","cloud","70.740585"
"336","cloud","66.686672"
"337","cloud","83.899054"
"338","cloud","67.781776"
"339","cloud","68.051026"
"340","cloud","82.756327"
"341","cloud","63.66904"
"342","cloud","74.738758"
"343","cloud","65.730412"
"344","cloud","68.153512"
"345","cloud","70.388753"
"346","cloud","70.246703"
"347","cloud","69.806357"
"348","cloud","66.069386"
"349","cloud","71.127249"
"350","cloud","66.372974"
"351","cloud","85.021514"
"352","cloud","68.163931"
"353","cloud","73.445374"
"354","cloud","66.565359"
"355","cloud","67.123782"
"356","cloud","66.071412"
"357","cloud","68.694896"
"358","cloud","68.832944"
"359","cloud","71.931198"
"360","cloud","76.156755"
"361","cloud","64.792185"
"362","cloud","68.334774"
"363","cloud","66.505709"
"364","cloud","69.295986"
"365","cloud","75.528557"
"366","cloud","72.677108"
"367","cloud","69.587312"
"368","cloud","72.623487"
"369","cloud","67.61375"
"370","cloud","70.216529"
"371","cloud","68.925392"
"372","cloud","71.58836"
"373","cloud","82.382137"
"374","cloud","66.929101"
"375","cloud","66.68697"
"376","cloud","67.232176"
"377","cloud","65.338552"
"378","cloud","66.777143"
"379","cloud","77.402057"
